"Collector","PathTemplate","NormalizedUri","ObservedMethods","MatchedMethods","WriteMethods","ExampleCmdlets","ApiReferenceLinks","SampleEndpoints"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions","/identityGovernance/accessReviews/definitions","GET","GET,POST","POST","Get-MgBetaIdentityGovernanceAccessReviewDefinition; Get-MgIdentityGovernanceAccessReviewDefinition; New-MgBetaIdentityGovernanceAccessReviewDefinition; New-MgIdentityGovernanceAccessReviewDefinition","https://learn.microsoft.com/graph/api/accessreviewset-list-definitions?view=graph-rest-beta; https://learn.microsoft.com/graph/api/accessreviewset-list-definitions?view=graph-rest-1.0; https://learn.microsoft.com/graph/api/accessreviewset-post-definitions?view=graph-rest-beta; https://learn.microsoft.com/graph/api/accessreviewset-post-definitions?view=graph-rest-1.0","https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions?"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions/$defId/instances","/identityGovernance/accessReviews/definitions/{id}/instances","GET","GET,POST","POST","Get-MgBetaIdentityGovernanceAccessReviewDefinitionInstance; Get-MgIdentityGovernanceAccessReviewDefinitionInstance; New-MgBetaIdentityGovernanceAccessReviewDefinitionInstance; New-MgIdentityGovernanceAccessReviewDefinitionInstance","https://learn.microsoft.com/graph/api/accessreviewscheduledefinition-list-instances?view=graph-rest-beta; https://learn.microsoft.com/graph/api/accessreviewscheduledefinition-list-instances?view=graph-rest-1.0","https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions/$defId/instances?"
"Get-AdminRoleData.ps1","/directoryRoles/$($role.Id)/members","/directoryRoles/{id}/members","GET","GET","","Get-MgBetaDirectoryRoleMember; Get-MgDirectoryRoleMember","https://learn.microsoft.com/graph/api/directoryrole-list-members?view=graph-rest-beta; https://learn.microsoft.com/graph/api/directoryrole-list-members?view=graph-rest-1.0","https://graph.microsoft.com/v1.0/directoryRoles/$($role.Id)/members"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps","/deviceAppManagement/mobileApps","GET","GET,POST","POST","Get-MgBetaDeviceAppManagementMobileApp; Get-MgDeviceAppManagementMobileApp; New-MgBetaDeviceAppManagementMobileApp; New-MgDeviceAppManagementMobileApp","https://learn.microsoft.com/graph/api/intune-apps-managedmobilelobapp-list?view=graph-rest-1.0; https://learn.microsoft.com/graph/api/intune-apps-macoslobapp-create?view=graph-rest-1.0","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps?"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$($app.id)/assignments","/deviceAppManagement/mobileApps/{id}/assignments","GET","GET,POST","POST","Get-MgBetaDeviceAppManagementMobileAppAssignment; Get-MgDeviceAppManagementMobileAppAssignment; New-MgBetaDeviceAppManagementMobileAppAssignment; New-MgDeviceAppManagementMobileAppAssignment","https://learn.microsoft.com/graph/api/intune-apps-mobileappassignment-list?view=graph-rest-1.0; https://learn.microsoft.com/graph/api/intune-apps-mobileappassignment-create?view=graph-rest-1.0","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$($app.id)/assignments"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$($app.id)/deviceStatuses","/deviceAppManagement/mobileApps/{id}/deviceStatuses","GET","","","","","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$($app.id)/deviceStatuses?"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$AppId/installSummary","/deviceAppManagement/mobileApps/{id}/installSummary","GET","","","","","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$AppId/installSummary"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$AppId/userStatuses","/deviceAppManagement/mobileApps/{id}/userStatuses","GET","","","","","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$AppId/userStatuses?"
"Get-AppDeployments.ps1","/deviceManagement/reports/getAppInstallStatusReport","/deviceManagement/reports/getAppInstallStatusReport","POST","","","","","https://graph.microsoft.com/beta/deviceManagement/reports/getAppInstallStatusReport"
"Get-AppDeployments.ps1","/deviceManagement/reports/getAppInstallSummaryReport","/deviceManagement/reports/getAppInstallSummaryReport","POST","","","","","https://graph.microsoft.com/beta/deviceManagement/reports/getAppInstallSummaryReport"
"Get-AppSignInData.ps1","/auditLogs/signIns","/auditLogs/signIns","GET","GET","","Get-MgAuditLogSignIn; Get-MgBetaAuditLogSignIn","https://learn.microsoft.com/graph/api/signin-list?view=graph-rest-1.0; https://learn.microsoft.com/graph/api/signin-list?view=graph-rest-beta","https://graph.microsoft.com/v1.0/auditLogs/signIns"
"Get-ASRRules.ps1","/deviceManagement/configurationPolicies","/deviceManagement/configurationPolicies","GET","GET,POST","POST","Get-MgBetaDeviceManagementConfigurationPolicy; New-MgBetaDeviceManagementConfigurationPolicy","","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies?"
"Get-ASRRules.ps1","/deviceManagement/configurationPolicies/$($policy.id)/settings","/deviceManagement/configurationPolicies/{id}/settings","GET","GET,POST","POST","Get-MgBetaDeviceManagementConfigurationPolicySetting; New-MgBetaDeviceManagementConfigurationPolicySetting","","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies/$($policy.id)/settings"
"Get-ASRRules.ps1","/deviceManagement/intents","/deviceManagement/intents","GET","GET,POST","POST","Get-MgBetaDeviceManagementIntent; New-MgBetaDeviceManagementIntent","","https://graph.microsoft.com/beta/deviceManagement/intents"
"Get-ASRRules.ps1","/deviceManagement/intents/$($intent.id)/settings","/deviceManagement/intents/{id}/settings","GET","GET,POST","POST","Get-MgBetaDeviceManagementIntentSetting; New-MgBetaDeviceManagementIntentSetting","","https://graph.microsoft.com/beta/deviceManagement/intents/$($intent.id)/settings"
"Get-ASRRules.ps1","/deviceManagement/templates","/deviceManagement/templates","GET","GET,POST","POST","Get-MgBetaDeviceManagementTemplate; New-MgBetaDeviceManagementTemplate","","https://graph.microsoft.com/beta/deviceManagement/templates?"
"Get-AutopilotData.ps1","/deviceManagement/autopilotEvents","/deviceManagement/autopilotEvents","GET","GET,POST","POST","Get-MgBetaDeviceManagementAutopilotEvent; New-MgBetaDeviceManagementAutopilotEvent","","https://graph.microsoft.com/beta/deviceManagement/autopilotEvents"
