"Collector","Version","Endpoint","PathTemplate"
"Get-AccessReviewData.ps1","v1.0","https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions?","/identityGovernance/accessReviews/definitions"
"Get-AccessReviewData.ps1","v1.0","https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions/$defId/instances?","/identityGovernance/accessReviews/definitions/$defId/instances"
"Get-AdminRoleData.ps1","v1.0","https://graph.microsoft.com/v1.0/directoryRoles/$($role.Id)/members","/directoryRoles/$($role.Id)/members"
"Get-AppDeployments.ps1","beta","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps?","/deviceAppManagement/mobileApps"
"Get-AppDeployments.ps1","beta","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$($app.id)/assignments","/deviceAppManagement/mobileApps/$($app.id)/assignments"
"Get-AppDeployments.ps1","beta","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$($app.id)/deviceStatuses?","/deviceAppManagement/mobileApps/$($app.id)/deviceStatuses"
"Get-AppDeployments.ps1","beta","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$AppId/installSummary","/deviceAppManagement/mobileApps/$AppId/installSummary"
"Get-AppDeployments.ps1","beta","https://graph.microsoft.com/beta/deviceAppManagement/mobileApps/$AppId/userStatuses?","/deviceAppManagement/mobileApps/$AppId/userStatuses"
"Get-AppDeployments.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/reports/getAppInstallStatusReport","/deviceManagement/reports/getAppInstallStatusReport"
"Get-AppDeployments.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/reports/getAppInstallSummaryReport","/deviceManagement/reports/getAppInstallSummaryReport"
"Get-AppSignInData.ps1","v1.0","https://graph.microsoft.com/v1.0/auditLogs/signIns","/auditLogs/signIns"
"Get-ASRRules.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies?","/deviceManagement/configurationPolicies"
"Get-ASRRules.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies/$($policy.id)/settings","/deviceManagement/configurationPolicies/$($policy.id)/settings"
"Get-ASRRules.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/intents","/deviceManagement/intents"
"Get-ASRRules.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/intents/$($intent.id)/settings","/deviceManagement/intents/$($intent.id)/settings"
"Get-ASRRules.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/templates?","/deviceManagement/templates"
"Get-AutopilotData.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/autopilotEvents","/deviceManagement/autopilotEvents"
"Get-AutopilotData.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsAutopilotDeviceIdentities","/deviceManagement/windowsAutopilotDeviceIdentities"
"Get-BitLockerStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/managedDeviceEncryptionStates","/deviceManagement/managedDeviceEncryptionStates"
"Get-BitLockerStatus.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/managedDevices","/deviceManagement/managedDevices"
"Get-BitLockerStatus.ps1","v1.0","https://graph.microsoft.com/v1.0/informationProtection/bitlocker/recoveryKeys","/informationProtection/bitlocker/recoveryKeys"
"Get-CompliancePolicies.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceCompliancePolicies","/deviceManagement/deviceCompliancePolicies"
"Get-CompliancePolicies.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceCompliancePolicies/$($policy.id)/assignments","/deviceManagement/deviceCompliancePolicies/$($policy.id)/assignments"
"Get-CompliancePolicies.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceSettingStateSummaries","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceSettingStateSummaries"
"Get-CompliancePolicies.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatuses?","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatuses"
"Get-CompliancePolicies.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview"
"Get-ConfigurationProfiles.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies","/deviceManagement/configurationPolicies"
"Get-ConfigurationProfiles.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies/$($profile.id)/assignments","/deviceManagement/configurationPolicies/$($profile.id)/assignments"
"Get-ConfigurationProfiles.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies/$($profile.id)/deviceStatuses?","/deviceManagement/configurationPolicies/$($profile.id)/deviceStatuses"
"Get-ConfigurationProfiles.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/configurationPolicies/$PolicyId/deviceStatuses?","/deviceManagement/configurationPolicies/$PolicyId/deviceStatuses"
"Get-ConfigurationProfiles.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/reports/exportJobs","/deviceManagement/reports/exportJobs"
"Get-ConfigurationProfiles.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/reports/getConfigurationPolicyDevicesReport","/deviceManagement/reports/getConfigurationPolicyDevicesReport"
"Get-ConfigurationProfiles.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceConfigurations","/deviceManagement/deviceConfigurations"
"Get-ConfigurationProfiles.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceConfigurations/$($profile.id)/assignments","/deviceManagement/deviceConfigurations/$($profile.id)/assignments"
"Get-ConfigurationProfiles.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceConfigurations/$($profile.id)/deviceSettingStateSummaries","/deviceManagement/deviceConfigurations/$($profile.id)/deviceSettingStateSummaries"
"Get-ConfigurationProfiles.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatuses?","/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatuses"
"Get-ConfigurationProfiles.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatusOverview","/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatusOverview"
"Get-ConfigurationProfiles.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/reports/exportJobs","/deviceManagement/reports/exportJobs"
"Get-DefenderData.ps1","v1.0","https://graph.microsoft.com/v1.0/security/alerts_v2?","/security/alerts_v2"
"Get-DefenderData.ps1","v1.0","https://graph.microsoft.com/v1.0/security/alerts?","/security/alerts"
"Get-DeletedUsers.ps1","v1.0","https://graph.microsoft.com/v1.0/directory/deletedItems/microsoft.graph.user?","/directory/deletedItems/microsoft.graph.user"
"Get-DeviceData.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsAutopilotDeviceIdentities","/deviceManagement/windowsAutopilotDeviceIdentities"
"Get-DeviceData.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/managedDevices/$($device.Id)/deviceCompliancePolicyStates","/deviceManagement/managedDevices/$($device.Id)/deviceCompliancePolicyStates"
"Get-DeviceData.ps1","v1.0","https://graph.microsoft.com/v1.0/devices?","/devices"
"Get-eDiscoveryData.ps1","beta","https://graph.microsoft.com/beta/security/cases/ediscoveryCases?","/security/cases/ediscoveryCases"
"Get-eDiscoveryData.ps1","beta","https://graph.microsoft.com/beta/security/cases/ediscoveryCases/$caseId/custodians","/security/cases/ediscoveryCases/$caseId/custodians"
"Get-eDiscoveryData.ps1","beta","https://graph.microsoft.com/beta/security/cases/ediscoveryCases/$caseId/legalHolds","/security/cases/ediscoveryCases/$caseId/legalHolds"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsAppHealthApplicationPerformance?","/deviceManagement/userExperienceAnalyticsAppHealthApplicationPerformance"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsAppHealthDevicePerformance?","/deviceManagement/userExperienceAnalyticsAppHealthDevicePerformance"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsBatteryHealthDevicePerformance?","/deviceManagement/userExperienceAnalyticsBatteryHealthDevicePerformance"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsDevicePerformance?","/deviceManagement/userExperienceAnalyticsDevicePerformance"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsDeviceScores?","/deviceManagement/userExperienceAnalyticsDeviceScores"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsDeviceStartupProcesses?","/deviceManagement/userExperienceAnalyticsDeviceStartupProcesses"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsOverview","/deviceManagement/userExperienceAnalyticsOverview"
"Get-EndpointAnalytics.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/userExperienceAnalyticsWorkFromAnywhereModelPerformance?","/deviceManagement/userExperienceAnalyticsWorkFromAnywhereModelPerformance"
"Get-EndpointSecurityStates.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/intents","/deviceManagement/intents"
"Get-EndpointSecurityStates.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/intents/$policyId/deviceStates","/deviceManagement/intents/$policyId/deviceStates"
"Get-EnterpriseAppData.ps1","v1.0","https://graph.microsoft.com/v1.0/applications?","/applications"
"Get-EnterpriseAppData.ps1","v1.0","https://graph.microsoft.com/v1.0/servicePrincipals?","/servicePrincipals"
"Get-GroupData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups?","/groups"
"Get-GroupData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups/$GroupId/members?","/groups/$GroupId/members"
"Get-GroupData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups/$GroupId/owners?","/groups/$GroupId/owners"
"Get-GuestData.ps1","v1.0","https://graph.microsoft.com/v1.0/users/$($guest.Id)/memberOf?","/users/$($guest.Id)/memberOf"
"Get-IdentityRiskData.ps1","v1.0","https://graph.microsoft.com/v1.0/identityProtection/riskDetections?","/identityProtection/riskDetections"
"Get-IdentityRiskData.ps1","v1.0","https://graph.microsoft.com/v1.0/identityProtection/riskyUsers?","/identityProtection/riskyUsers"
"Get-LapsCoverage.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/deviceLocalCredentials","/deviceManagement/deviceLocalCredentials"
"Get-LapsCoverage.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/managedDevices?","/deviceManagement/managedDevices"
"Get-MFAData.ps1","v1.0","https://graph.microsoft.com/v1.0/reports/authenticationMethods/userRegistrationDetails","/reports/authenticationMethods/userRegistrationDetails"
"Get-OAuthConsentGrants.ps1","beta","https://graph.microsoft.com/beta/oauth2PermissionGrants?","/oauth2PermissionGrants"
"Get-OAuthConsentGrants.ps1","v1.0","https://graph.microsoft.com/v1.0/servicePrincipals?","/servicePrincipals"
"Get-OAuthConsentGrants.ps1","v1.0","https://graph.microsoft.com/v1.0/users/$principalId","/users/$principalId"
"Get-RetentionData.ps1","beta","https://graph.microsoft.com/beta/security/labels/retentionLabels","/security/labels/retentionLabels"
"Get-RetentionData.ps1","beta","https://graph.microsoft.com/beta/security/triggerTypes/retentionEventTypes","/security/triggerTypes/retentionEventTypes"
"Get-SecureScoreData.ps1","v1.0","https://graph.microsoft.com/v1.0/security/secureScores?","/security/secureScores"
"Get-SensitivityLabelsData.ps1","beta","https://graph.microsoft.com/beta/security/informationProtection/sensitivityLabels","/security/informationProtection/sensitivityLabels"
"Get-SensitivityLabelsData.ps1","beta","https://graph.microsoft.com/beta/security/informationProtection/sensitivityLabels/$($parent.id)/sublabels","/security/informationProtection/sensitivityLabels/$($parent.id)/sublabels"
"Get-ServiceAnnouncementData.ps1","v1.0","https://graph.microsoft.com/v1.0/admin/serviceAnnouncement/healthOverviews?","/admin/serviceAnnouncement/healthOverviews"
"Get-ServiceAnnouncementData.ps1","v1.0","https://graph.microsoft.com/v1.0/admin/serviceAnnouncement/messages?","/admin/serviceAnnouncement/messages"
"Get-ServicePrincipalSecrets.ps1","v1.0","https://graph.microsoft.com/v1.0/applications?","/applications"
"Get-SharePointData.ps1","beta","https://graph.microsoft.com/beta/reports/getSharePointSiteUsageDetail(period=","/reports/getSharePointSiteUsageDetail(period="
"Get-SharePointData.ps1","beta","https://graph.microsoft.com/beta/sites/getAllSites?","/sites/getAllSites"
"Get-SharePointData.ps1","v1.0","https://graph.microsoft.com/v1.0/reports/getSharePointSiteUsageDetail(period=","/reports/getSharePointSiteUsageDetail(period="
"Get-SignInLogs.ps1","beta","https://graph.microsoft.com/beta/auditLogs/signIns?","/auditLogs/signIns"
"Get-TeamsData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups?","/groups"
"Get-TeamsData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups/$groupId","/groups/$groupId"
"Get-TeamsData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups/$groupId/members/","/groups/$groupId/members/"
"Get-TeamsData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups/$GroupId/members/microsoft.graph.user?","/groups/$GroupId/members/microsoft.graph.user"
"Get-TeamsData.ps1","v1.0","https://graph.microsoft.com/v1.0/groups/$GroupId/sites/root?","/groups/$GroupId/sites/root"
"Get-TeamsData.ps1","v1.0","https://graph.microsoft.com/v1.0/reports/getTeamsTeamActivityDetail(period=","/reports/getTeamsTeamActivityDetail(period="
"Get-TeamsData.ps1","v1.0","https://graph.microsoft.com/v1.0/teams/$TeamId/channels?","/teams/$TeamId/channels"
"Get-UserData.ps1","v1.0","https://graph.microsoft.com/v1.0/deviceManagement/managedDevices?","/deviceManagement/managedDevices"
